,Item Description,Category
425,Captain Morgan White,1062200.0
426,Cruzan Dark Rum,1062300.0
428,Rondiaz Rum White,1062200.0
434,UV Vodka PET,1031000.0
435,Popov Vodka 80 Prf,1031000.0
438,Smirnoff Vodka 80 Prf Pet,1031000.0
441,Black Velvet Traveler,1012100.0
443,Revel Stoke Roasted Apple,1012100.0
445,Chi-Chi's Mexican Mudslide,1070000.0
446,Chi-Chi's Margarita W/tequila,1070000.0
448,Jose Cuervo Authentic Strawberry Margarita,1070000.0
449,Jose Cuervo Authentic Watermelon Margarita,1070000.0
450,1800 Peach,1070000.0
452,Tooters Blu-Dacious Kamikazi Mini,1070000.0
455,Tim Smith's Climax Moonshine,1091000.0
457,Ciroc Apple,1032200.0
459,Midnight Moon Apple Pie,1091300.0
462,Jim Beam Devil's Cut,1011200.0
464,Southern Comfort 100 Prf,1081600.0
465,Absolut Apeach,1032200.0
466,Malibu Coconut Rum Mini,1062500.0
469,Hpnotiq Mini,1082000.0
470,Kinky Red Liqueur Mini,1081000.0
475,Canadian Mist Whisky,1012100.0
488,Five O'clock PET Vodka,1031000.0
489,Bailey's Original Irish Cream Minis,1081200.0
490,Korski Vodka,1031100.0
492,Phillips Vodka Ez Pack,1031000.0
494,Corralejo Reposado Tequila,1022200.0
495,St. Brendan's Superior Irish Cream Liqueur,1081200.0
497,Rumchata Mini,1081200.0
499,Black Velvet Mini,1012100.0
501,99 Bananas,1081000.0
508,Jim Beam Apple,1011200.0
518,Revel Stoke Roasted Pecan,1012100.0
520,Citronge,1082000.0
526,99 Cinnamon Mini,1081400.0
531,Jose Cuervo Especial Silver,1022100.0
541,Dekuyper Cherry Pucker,1081400.0
546,Dekuyper Grape Pucker,1081400.0
547,Dekuyper Hot Damn!,1081400.0
553,Malibu Pineapple Rum,1062500.0
562,Jose Cuervo Authentic Light Margarita Lime,1070000.0
572,Bacardi Superior Rum Mini,1062200.0
610,Uv Cake Vodka Mini,1031200.0
618,Captain Morgan 100 Proof Spiced Rum,1062400.0
636,Popov Vodka 80 Prf Traveler,1031000.0
643,Paramount Peach Schnapps,1081400.0
654,Southern Comfort Mini,1081600.0
657,Jose Cuervo Especial Reposado Square,1022100.0
662,UV Peach,1031200.0
678,Kraken Rum w/ Tiki Glass,1701100.0
679,Smirnoff 1.75L PET w/2-50ml Smirnoff Peppermint,1701100.0
683,Cedar Ridge Bourbon,1011200.0
