,Store Number,County Number
23515,4194,50.0
23537,3041,50.0
23583,3514,94.0
23626,9002,82.0
23636,9902,82.0
23640,5321,6.0
23645,5303,64.0
23662,3719,64.0
23687,2544,64.0
23948,5248,64.0
24018,5346,64.0
24088,4756,64.0
24094,5324,64.0
24130,5179,50.0
24141,4727,77.0
24159,4810,77.0
24177,4084,77.0
24194,4404,77.0
24205,4726,77.0
24432,4601,77.0
24450,4598,77.0
24474,4795,77.0
24477,5125,77.0
24541,4803,77.0
24555,4140,77.0
24779,4802,77.0
24790,5162,77.0
24801,3877,77.0
24935,4941,77.0
25121,4447,77.0
25132,2587,77.0
25356,2648,77.0
25588,4368,77.0
25603,4725,77.0
25831,2528,77.0
26020,4603,77.0
26057,2561,77.0
26231,4301,77.0
26259,5129,77.0
26297,4595,77.0
26347,4997,77.0
26388,4942,77.0
26395,2849,77.0
26409,4798,77.0
26438,3678,77.0
26449,4877,77.0
26461,2248,77.0
26521,5127,77.0
26588,4804,77.0
26602,2535,77.0
26641,4230,77.0
26654,2630,77.0
26673,4373,77.0
26680,3814,25.0
26692,3899,77.0
26944,5347,77.0
26965,4927,77.0
26993,2521,77.0
27165,5146,77.0
27177,4718,77.0
27235,4521,37.0
27264,4190,37.0
27325,2671,37.0
27367,5205,14.0
27387,4158,14.0
27406,4613,14.0
27419,4688,14.0
27441,2593,14.0
27477,4014,24.0
27602,4410,8.0
27620,4001,14.0
27651,2595,24.0
27805,3756,14.0
27846,5343,14.0
27858,4917,25.0
27874,2612,25.0
27990,4320,8.0
28014,5012,8.0
28034,3831,8.0
28061,3987,55.0
28064,4169,77.0
28111,4385,91.0
28146,5144,77.0
28201,2628,42.0
28219,4110,12.0
28272,2657,87.0
28375,2620,77.0
28625,4893,77.0
28639,4594,77.0
28664,4369,91.0
28675,4092,91.0
28700,4260,20.0
28720,2550,20.0
28772,3997,20.0
28782,4419,27.0
28788,2668,27.0
28819,3826,20.0
28855,4382,77.0
28937,4801,77.0
28952,5098,77.0
28962,4165,77.0
28980,4549,85.0
28986,5337,38.0
29008,4659,38.0
29031,4250,42.0
29074,4455,42.0
29081,4657,38.0
29087,5206,38.0
29127,4495,38.0
29147,4396,38.0
29179,4306,35.0
29223,4547,35.0
29248,4421,35.0
29273,2460,35.0
29314,4658,42.0
29327,4284,42.0
29340,2658,80.0
29354,3813,80.0
29398,2655,73.0
29424,4249,73.0
29467,5210,73.0
29514,4246,73.0
29523,2607,73.0
29601,4937,73.0
29608,4629,65.0
29637,4708,65.0
29668,4010,65.0
29705,4738,78.0
29714,4545,78.0
29751,4510,65.0
29768,2518,69.0
29883,4318,69.0
29899,2656,22.0
29925,2327,2.0
29975,5110,87.0
30000,3830,88.0
30029,2553,88.0
30066,2672,61.0
30091,4823,88.0
30113,4291,88.0
30162,4531,88.0
30169,2228,61.0
30222,4848,61.0
30296,4907,7.0
30309,4947,7.0
30451,4147,7.0
30463,3819,96.0
30469,4631,7.0
30490,4914,7.0
30507,2835,7.0
30523,4723,7.0
30536,5007,9.0
30550,5181,9.0
30560,5352,9.0
30581,3717,9.0
30607,3857,3.0
30637,4762,96.0
30727,4818,96.0
30728,4183,96.0
30773,3721,96.0
30806,4289,3.0
30826,2178,3.0
30918,5017,3.0
30959,5330,3.0
30988,4973,33.0
31043,4466,33.0
31055,5180,33.0
31071,4628,33.0
31089,4156,33.0
31110,5199,33.0
31123,3584,33.0
31163,4395,40.0
31183,4651,40.0
31208,5297,40.0
31232,2602,40.0
31262,4709,85.0
31388,5187,85.0
31405,4235,40.0
31420,5296,40.0
31427,4133,40.0
31450,4459,99.0
31465,4236,99.0
31531,4556,99.0
31542,3056,99.0
31567,4591,99.0
31579,5287,99.0
31585,5302,99.0
31595,3654,99.0
31611,4247,99.0
31628,4172,42.0
31649,4355,85.0
31671,4081,85.0
31738,4102,85.0
31785,4675,85.0
31807,4767,77.0
31832,5245,77.0
31909,5051,77.0
31934,4478,77.0
31969,4597,77.0
32016,5145,77.0
32056,4186,77.0
32076,5131,77.0
32116,3700,78.0
32163,5322,78.0
32190,4743,78.0
32240,3443,78.0
32316,3728,78.0
32388,4476,78.0
32399,5182,78.0
32424,3963,78.0
32490,4740,78.0
32504,5327,78.0
32508,4317,1.0
32559,4626,78.0
32579,4808,78.0
32591,4474,78.0
32615,4608,78.0
32652,5314,78.0
32750,4462,95.0
32768,4509,85.0
32777,3477,78.0
32813,4503,78.0
32862,4516,78.0
32947,4463,41.0
32973,4780,41.0
32983,3682,55.0
33001,4268,55.0
33058,2585,55.0
33174,3842,55.0
33224,4650,55.0
33259,4073,95.0
33358,3881,64.0
33408,5126,77.0
33547,2539,42.0
33675,2651,9.0
33866,4146,9.0
33906,4538,12.0
33913,4999,12.0
33923,4700,12.0
33936,3676,12.0
33997,4203,9.0
34036,4924,19.0
34072,3688,19.0
34087,4285,19.0
34157,4143,19.0
34287,4233,45.0
34328,4769,45.0
34347,4559,66.0
34440,3542,66.0
34468,4986,34.0
34485,5134,34.0
34497,5121,34.0
34536,4321,34.0
34572,2578,34.0
34697,4524,34.0
34727,3045,41.0
34759,4600,77.0
34823,4273,77.0
34928,4057,77.0
34929,3825,77.0
34974,4062,77.0
35055,5128,77.0
35109,2852,77.0
35161,3612,49.0
35186,3778,77.0
35289,2850,77.0
35302,5338,77.0
35597,3886,53.0
35621,5333,53.0
35741,3829,57.0
35816,4856,57.0
35876,4562,16.0
35889,4953,23.0
35930,4051,49.0
36159,3488,49.0
36177,4540,49.0
36188,4690,49.0
36202,4543,57.0
36216,4180,57.0
36308,4876,57.0
36326,3707,57.0
36398,2569,57.0
36548,4605,57.0
36586,4736,57.0
36623,2514,57.0
36682,2847,57.0
36702,4401,57.0
36735,4155,57.0
36780,2560,57.0
36996,5039,52.0
37004,4126,52.0
37115,3494,7.0
37183,2538,7.0
37227,4166,10.0
37425,5364,7.0
37455,2575,7.0
37497,2643,7.0
37686,4760,7.0
37713,4150,7.0
37751,3690,7.0
37788,3740,7.0
37840,4910,7.0
37886,2837,7.0
37907,4223,7.0
38002,4153,7.0
38030,5031,7.0
38090,5001,10.0
38174,3784,10.0
38251,4148,10.0
38252,5175,28.0
38336,5271,10.0
38369,4189,28.0
38376,5054,28.0
38486,5171,28.0
38538,3744,31.0
38562,4182,31.0
38591,4585,31.0
38604,5148,31.0
38626,4607,22.0
38636,3782,22.0
38681,4869,22.0
38710,3679,22.0
38782,4972,22.0
38808,4908,22.0
38862,4130,89.0
38881,3803,22.0
38882,4855,22.0
38903,3957,22.0
38922,4943,90.0
38938,4296,89.0
38991,2555,56.0
39129,4993,56.0
39160,2191,56.0
39313,4673,56.0
39356,4793,56.0
39384,3549,56.0
39457,2584,56.0
39546,4619,56.0
39643,4258,29.0
39673,4898,29.0
39690,4721,29.0
39707,5204,29.0
39726,4722,29.0
39732,4424,29.0
39771,4752,29.0
39805,5149,29.0
39842,2507,29.0
39884,4897,29.0
39944,2506,29.0
40263,4794,29.0
40292,5071,16.0
40309,4698,51.0
40326,4522,50.0
40391,2601,51.0
41067,5040,70.0
41186,3838,48.0
41327,5108,82.0
41354,5249,82.0
41437,4644,82.0
41445,5100,82.0
41470,4962,82.0
41504,3917,82.0
41598,4749,82.0
41614,3805,82.0
41693,5226,82.0
41741,4892,82.0
41821,4949,82.0
41836,5320,82.0
41896,2554,82.0
41915,4303,29.0
41947,3918,82.0
42019,4967,82.0
42098,2629,78.0
42378,2641,78.0
42488,2613,78.0
42653,5315,54.0
42693,5316,54.0
42736,4279,54.0
42754,4580,92.0
42924,2653,92.0
43082,5163,44.0
43089,5072,44.0
43115,2558,44.0
43274,4790,29.0
43377,4125,58.0
43422,4413,58.0
43435,3710,58.0
43440,3403,58.0
43522,5090,70.0
43536,5299,70.0
43545,5091,70.0
43631,2662,70.0
43855,4467,70.0
43897,4984,70.0
43986,2573,70.0
44175,5260,70.0
44194,3907,70.0
44259,4184,70.0
44309,5261,70.0
44344,4806,70.0
44366,3910,92.0
44380,4402,92.0
44395,4067,90.0
44437,5252,48.0
44449,3712,79.0
44495,3065,79.0
44516,4878,71.0
44538,4193,71.0
44563,3576,71.0
44628,4485,71.0
44664,4248,71.0
44679,2661,71.0
44784,3621,71.0
44901,4589,72.0
44944,4891,72.0
45004,4336,60.0
45037,4434,60.0
45067,3705,60.0
45150,4337,60.0
45181,4006,60.0
45187,4904,60.0
45229,4820,60.0
45263,5153,60.0
45293,5263,84.0
45330,4909,84.0
45342,4563,84.0
45359,3763,84.0
45392,4525,75.0
45424,4255,84.0
45470,5133,84.0
45516,4256,84.0
45539,3981,84.0
45586,2660,84.0
45647,3742,75.0
45688,2604,75.0
45756,4277,75.0
45793,4231,75.0
45824,3695,75.0
45865,3484,18.0
45887,5311,71.0
45921,4569,71.0
45943,4532,11.0
45955,3964,11.0
45999,5266,11.0
46004,3461,1.0
46026,4654,1.0
46046,4416,39.0
46065,4417,1.0
46076,4267,15.0
46129,3833,15.0
46159,2591,15.0
46326,5081,15.0
46347,4313,15.0
46364,5208,15.0
46368,4114,15.0
46418,5082,15.0
46426,5194,43.0
46455,5177,78.0
46464,5195,78.0
46483,4159,78.0
46718,4475,78.0
46780,3521,78.0
46808,4867,78.0
46825,5342,78.0
46855,4633,78.0
46890,5077,78.0
46924,3611,43.0
46929,5044,78.0
46944,4152,43.0
47068,5089,43.0
47098,5087,43.0
47127,4000,43.0
47236,5362,43.0
47237,2650,83.0
47271,4995,83.0
47284,4229,83.0
47424,5173,5.0
47442,4473,39.0
47633,5094,57.0
47640,4950,57.0
47733,2841,57.0
47744,4491,57.0
48569,4517,57.0
48578,4744,57.0
48623,4377,77.0
48912,4596,77.0
48953,4141,77.0
49037,4641,77.0
49073,4800,77.0
49224,4138,91.0
49491,4836,52.0
49501,4457,52.0
49517,4456,52.0
49543,3565,52.0
49684,4989,52.0
50029,5219,52.0
50118,4837,52.0
50220,4504,91.0
50248,5118,31.0
50594,2465,31.0
50713,4765,31.0
51110,5306,31.0
51299,4171,31.0
51537,5239,57.0
51754,5211,77.0
51798,4853,77.0
52239,4678,25.0
52298,4359,25.0
52387,4411,25.0
52417,4872,61.0
52427,4868,25.0
52472,4446,77.0
52548,4458,77.0
52993,4923,18.0
53260,4905,13.0
53371,4930,8.0
53618,5023,57.0
53646,5024,57.0
53654,2529,57.0
53764,4176,57.0
54079,4490,57.0
54434,4720,59.0
54899,4840,7.0
55169,5101,7.0
55485,4472,4.0
55857,4380,16.0
56227,4480,23.0
56486,4412,16.0
56505,4170,16.0
56658,4508,21.0
56663,3677,21.0
57345,4774,32.0
57346,4251,85.0
57369,4899,74.0
57616,5267,94.0
57792,4702,94.0
57802,2851,94.0
57942,4514,94.0
58085,5048,76.0
58099,4326,40.0
58118,4701,8.0
58142,4896,3.0
58400,3973,85.0
58630,4436,85.0
58818,2853,85.0
58827,4960,85.0
59332,4356,85.0
59417,4575,85.0
59743,4191,63.0
59843,3789,62.0
60026,2600,62.0
60074,5301,90.0
60138,4735,90.0
60475,4293,90.0
