,Store Number,Zip Code
34485,5134,50616.0
34497,5121,50616.0
34536,4321,50616.0
34572,2578,50616.0
34697,4524,50458.0
34727,3045,50423.0
34759,4600,50317.0
34823,4273,50317.0
34928,4057,50316.0
34929,3825,50316.0
34974,4062,50314.0
35055,5128,50310.0
35109,2852,50310.0
35161,3612,52060.0
35186,3778,50310.0
35289,2850,50313.0
35302,5338,50313.0
35597,3886,52205.0
35621,5333,52205.0
35741,3829,52314.0
35816,4856,52253.0
35876,4562,52306.0
35889,4953,52254.0
35930,4051,52060.0
36159,3488,52031.0
36177,4540,52031.0
36188,4690,52207.0
36202,4543,52302.0
36216,4180,52302.0
36308,4876,52233.0
36326,3707,52402.0
36398,2569,52402.0
36548,4605,52302.0
36586,4736,52302.0
36623,2514,50129.0
36682,2847,52302.0
36702,4401,52302.0
36735,4155,52302.0
36780,2560,52302.0
36996,5039,52333.0
37004,4126,52333.0
37115,3494,50702.0
37183,2538,50702.0
37227,4166,50648.0
37425,5364,50707.0
37455,2575,50702.0
37497,2643,50701.0
37686,4760,50701.0
37713,4150,50701.0
37751,3690,50702.0
37788,3740,50702.0
37840,4910,50702.0
37886,2837,50702.0
37907,4223,50707.0
38002,4153,50707.0
38030,5031,50667.0
38090,5001,50644.0
38174,3784,50644.0
38251,4148,50644.0
38252,5175,52223.0
38336,5271,50682.0
38369,4189,52057.0
38376,5054,52087.0
38486,5171,52036.0
38538,3744,52040.0
38562,4182,52040.0
38591,4585,52046.0
38604,5148,52053.0
38626,4607,52052.0
38636,3782,52052.0
38681,4869,52052.0
38710,3679,52159.0
38782,4972,52159.0
38808,4908,52043.0
38862,4130,52565.0
38881,3803,52076.0
38882,4855,52076.0
38903,3957,52042.0
38922,4943,52554.0
38938,4296,52565.0
38991,2555,52632.0
39129,4993,52632.0
39160,2191,52632.0
39313,4673,52656.0
39356,4793,52627.0
39384,3549,52627.0
39457,2584,52627.0
39546,4619,52627.0
39643,4258,52601.0
39673,4898,52601.0
39690,4721,52601.0
39707,5204,52601.0
39726,4722,56201.0
39732,4424,52601.0
39771,4752,52655.0
39805,5149,52601.0
39842,2507,52601.0
39884,4897,52601.0
39944,2506,52601.0
40263,4794,52601.0
40292,5071,52747.0
40309,4698,52556.0
40326,4522,50170.0
40391,2601,52556.0
41067,5040,52778.0
41186,3838,52722.0
41327,5108,52722.0
41354,5249,52803.0
41437,4644,52803.0
41445,5100,52802.0
41470,4962,52803.0
41504,3917,52804.0
41598,4749,52804.0
41614,3805,52084.0
41693,5226,52802.0
41741,4892,52802.0
41821,4949,52802.0
41836,5320,52801.0
41896,2554,52802.0
41915,4303,52637.0
41947,3918,52802.0
42019,4967,52726.0
42098,2629,51503.0
42378,2641,51501.0
42488,2613,51501.0
42653,5315,52591.0
42693,5316,52591.0
42736,4279,52248.0
42754,4580,52353.0
42924,2653,52353.0
43082,5163,52641.0
43089,5072,52641.0
43115,2558,52641.0
43274,4790,52405.0
43377,4125,52653.0
43422,4413,52653.0
43435,3710,52738.0
43440,3403,52738.0
43522,5090,52761.0
43536,5299,52761.0
43545,5091,52761.0
43631,2662,52761.0
43855,4467,52761.0
43897,4984,52761.0
