,Item Description,Category Name
445,Chi-Chi's Mexican Mudslide,Cocktails / RTD
446,Chi-Chi's Margarita W/tequila,Cocktails / RTD
448,Jose Cuervo Authentic Strawberry Margarita,Cocktails / RTD
449,Jose Cuervo Authentic Watermelon Margarita,Cocktails / RTD
450,1800 Peach,Cocktails / RTD
452,Tooters Blu-Dacious Kamikazi Mini,Cocktails / RTD
455,Tim Smith's Climax Moonshine,American Distilled Spirits Specialty
457,Ciroc Apple,Imported Flavored Vodka
459,Midnight Moon Apple Pie,Neutral Grain Spirits Flavored
462,Jim Beam Devil's Cut,Straight Bourbon Whiskies
464,Southern Comfort 100 Prf,Whiskey Liqueur
465,Absolut Apeach,Imported Flavored Vodka
466,Malibu Coconut Rum Mini,Flavored Rum
469,Hpnotiq Mini,Imported Cordials & Liqueurs
470,Kinky Red Liqueur Mini,American Cordials & Liqueurs
475,Canadian Mist Whisky,Canadian Whiskies
488,Five O'clock PET Vodka,American Vodka
489,Bailey's Original Irish Cream Minis,Cream Liqueurs
490,Korski Vodka,American Vodkas
492,Phillips Vodka Ez Pack,American Vodka
494,Corralejo Reposado Tequila,100% Agave Tequila
495,St. Brendan's Superior Irish Cream Liqueur,Cream Liqueurs
497,Rumchata Mini,Cream Liqueurs
499,Black Velvet Mini,Canadian Whiskies
501,99 Bananas,American Cordials & Liqueurs
508,Jim Beam Apple,Straight Bourbon Whiskies
518,Revel Stoke Roasted Pecan,Canadian Whiskies
520,Citronge,Imported Cordials & Liqueurs
526,99 Cinnamon Mini,American Schnapps
531,Jose Cuervo Especial Silver,Mixto Tequila
541,Dekuyper Cherry Pucker,American Schnapps
546,Dekuyper Grape Pucker,American Schnapps
547,Dekuyper Hot Damn!,American Schnapps
553,Malibu Pineapple Rum,Flavored Rum
562,Jose Cuervo Authentic Light Margarita Lime,Cocktails / RTD
572,Bacardi Superior Rum Mini,White Rum
610,Uv Cake Vodka Mini,American Flavored Vodka
618,Captain Morgan 100 Proof Spiced Rum,Spiced Rum
636,Popov Vodka 80 Prf Traveler,American Vodka
643,Paramount Peach Schnapps,American Schnapps
654,Southern Comfort Mini,Whiskey Liqueur
657,Jose Cuervo Especial Reposado Square,Mixto Tequila
662,UV Peach,American Flavored Vodka
678,Kraken Rum w/ Tiki Glass,Temporary & Specialty Packages
679,Smirnoff 1.75L PET w/2-50ml Smirnoff Peppermint,Temporary & Specialty Packages
683,Cedar Ridge Bourbon,Straight Bourbon Whiskies
684,Smirnoff Whipped Cream,American Flavored Vodka
687,Captain Morgan Pineapple,Flavored Rum
689,Uv Vodka,American Vodka
690,Swell Vodka,American Vodka
693,Four Roses Small Batch,Straight Bourbon Whiskies
694,Jim Beam Traveler,Straight Bourbon Whiskies
695,Rich & Rare Reserve,Canadian Whiskies
700,Burnett's Vodka 80 Prf,American Vodka
701,Paul Masson Peach Grande Amber Brandy,American Brandies
705,Absolut Mandrin,Imported Flavored Vodka
706,Svedka Cucumber Lime,Imported Vodka
709,Paramount Sloe Gin,American Sloe Gins
