,Store Number,Store Location
5900,4660,"1904, Mt Vernon Rd SE
Cedar Rapids 52403
(41.977226, -91.642558)"
5915,4637,"3301 J St
Cedar Rapids 52404
(41.944676, -91.666812)"
5942,4566,"30 Four Oaks Dr SW
Cedar Rapids 52404
(41.923078, -91.657939)"
5957,3822,"1205 Curtis Br Rd NE
Swisher 52338
(41.847398, -91.646067)"
5976,3663,"1334 Flammang Dr
Waterloo 50702
(42.460238, -92.330801)"
6013,3889,"700 29 St SW
Waverly 50677
(42.700321, -92.478899)"
6027,3859,"302 Enterprise Dr SW
Independence 50644
(42.450709, -91.892924)"
6038,4019,"1220 West Main
Manchester 52057
(42.48383, -91.478778)"
6054,2113,"1119 Market St. Box 71
Gowrie 50543
(42.28057, -94.289457)"
6079,5141,"1131, Market St
Gowrie 50543
(42.28056, -94.290484)"
6091,4998,"820 E Main St
Lake City 51449
(42.267363, -94.724867)"
6159,5010,"106 S 16th St
Sac City 50583
(42.422404, -95.002637)"
6183,4118,"502 5th Street
Lake View 51450
(42.307764, -95.051539)"
6210,4116,"223 Main St
Lake View 51450
(42.305275, -95.051692)"
6215,5354,"129 Center Street
Wall Lake 51466
(42.271309, -95.090639)"
6224,5151,"500, Hwy 175
Ida Grove 51445
(42.350165, -95.467481)"
6251,5004,"200 Susan Lawrence Dr
Ida Grove 51445
"
6267,4097,"108 2nd St
Schleswig 51461
(42.165983, -95.436648)"
6291,3932,"311 Main St
Mapleton 51034
(42.165915, -95.79375)"
6371,5228,"101, W Main St
Anthon 51004
(42.388265, -95.868594)"
6377,5274,"101 Main St
Kingsley 51028
(42.587074, -95.967322)"
6392,3650,"118 South Main St.
Holstein 51025
(42.488703, -95.544794)"
6450,5140,"114, S 2nd St
Cherokee 51012
(42.749013, -95.55132)"
6506,3989,"300 E Main St
Cherokee 51012
(42.749589, -95.547068)"
6531,4310,"205 West Bluff St
Cherokee 51012
(42.75508, -95.551866)"
6580,2597,"1300 N. Second
Cherokee 51012
(42.765201, -95.55257)"
6623,3749,"1831 Lake Ave NW
Storm Lake 50588
(42.663904, -95.200739)"
6649,2576,"1250 N Lake St
Storm Lake 50588
(42.653184, -95.200758)"
6709,3635,"302 West Walnut St
Ogden 50212
(42.039076, -94.031178)"
6779,5067,"1101, N Lake Ave
Storm Lake 50588
(42.651369, -95.200761)"
6796,5028,"1100, E 5th St
Storm Lake 50588
(42.644563, -95.186938)"
6814,4163,"731 Seneca St
Storm Lake 50588
(42.646379, -95.196856)"
6821,5326,"215 W. Milwaukee Ave
Storm Lake 50588
(42.647492, -95.202405)"
6946,3855,"1201 1/2 Lakeshore Dr
Storm Lake 50588
(42.634858, -95.185743)"
6995,3876,"1101 MAIN ST PO BOX 535
Manson 50563
(42.530636, -94.534319)"
7025,4324,"22 North Main
Dayton 50530
(42.26168, -94.068439)"
7061,4831,"320, W Mamie Eisenhower Ave
Boone 50036
(42.05934, -93.896855)"
7076,2505,"1111 8TH ST
Boone 50036
(42.063831, -93.876107)"
7117,4935,"1117 E 4th St
Waterloo 50703
(42.507683, -92.332774)"
7179,4408,"315 Story St
Boone 50036
(42.058784, -93.879991)"
7192,4409,"1704 S Story St
Boone 50036
(42.037102, -93.879597)"
7216,4023,"1515 SE Marshall St
Boone 50036
(42.035099, -93.87078)"
7236,4107,"1711 Hawkeye Dr
Boone 50036
(42.037347, -93.867439)"
7277,3769,"525 Brandilynn Blvd
Cedar Falls 50613
(42.485042, -92.440394)"
7314,2572,"6301 University
Cedar Falls 50613
(42.512773, -92.433485)"
7388,3868,"5491 Business Hwy 151
Marion 52302
"
7580,4902,"821 Broadway St
Waterloo 50703
(42.513772, -92.345144)"
7588,2571,"2181 Logan Ave
Waterloo 50703
(42.530476, -92.337583)"
7624,4900,"515 Broadway St
Waterloo 50703
(42.510792, -92.345106)"
7665,4648,"508 Broadway St
Waterloo 50703
(42.510573, -92.345104)"
7681,5063,"735, Logan Ave
Waterloo 50703
(42.510453, -92.337744)"
7715,4077,"428 Franklin St
Waterloo 50703
(42.501665, -92.334739)"
7731,4647,"1615 Bishop Ave
Waterloo 50707
(42.49807, -92.293057)"
7758,5113,"1975 Franklin St
Waterloo 50703
(42.495394, -92.315218)"
7776,4502,"2100, Lafayette St
Waterloo 50703
(42.489966, -92.31409)"
7805,5243,"1309, Lafayette St
Waterloo 50703
(42.49408, -92.327154)"
7843,4265,"1104 Washington St
Waterloo 50702
(42.489168, -92.337057)"
7861,5043,"919 W 5th St
Waterloo 50702
(42.488619, -92.346266)"
7891,3993,"1625 West 4th St
Waterloo 50701
(42.484388, -92.356413)"
7934,5174,"437, Sullivan Ave
Waterloo 50701
(42.487326, -92.355915)"
7974,4512,"2332, Falls Ave
Waterloo 50701
(42.500142, -92.37641)"
7980,4642,"2844 University Ave
Waterloo 50701
(42.498321, -92.382928)"
7997,3773,"501 7th Ave SE
Cedar Rapids 52401
(41.975787, -91.659795)"
8187,5236,"600 W Main St
Anamosa 52205
(42.108203, -91.290836)"
8326,3934,"103 E Carlisle
Maquoketa 52060
(42.04869, -90.66292)"
8344,3563,"3003 North Hwy 61
Muscatine 52761
(41.455288, -91.025917)"
8378,2633,"3221 SE 14th St
Des Moines 50320
(41.554101, -93.596754)"
8572,2564,"4000 University
Waterloo 50701
(42.505197, -92.403843)"
8779,4511,"303 SE 30th St
Des Moines 50317
(41.585264, -93.558326)"
8790,4068,"136 1ST ST
West Des Moines 50265
(41.570743, -93.703344)"
8811,5169,"5120, NE 14th Street
Des Moines 50313
(41.653137, -93.60054)"
8823,3909,"104 SE A St
Melcher-Dallas 50163
(41.222471, -93.241634)"
8844,2551,"2001 West Court
Chariton 50049
"
8913,5059,"207 Front St
Humeston 50123
(40.860195, -93.499471)"
8935,2669,"103, E Jackson St
Corydon 50060
(40.75842, -93.318046)"
8955,4027,"23148 Hwy 5
Centerville 52544
(40.708684, -92.867851)"
8972,4271,"305 S 18th St
Centerville 52544
(40.731946, -92.867944)"
8983,2523,"414 N 18th St
Centerville 52544
(40.735639, -92.86795)"
