,Store Number,County
35302,5338,POLK
35597,3886,JONES
35621,5333,JONES
35741,3829,LINN
35816,4856,LINN
35876,4562,CEDAR
35889,4953,CLINTON
35930,4051,JACKSON
36159,3488,JACKSON
36177,4540,JACKSON
36188,4690,JACKSON
36202,4543,LINN
36216,4180,LINN
36308,4876,LINN
36326,3707,LINN
36398,2569,LINN
36548,4605,LINN
36586,4736,LINN
36623,2514,Linn
36682,2847,LINN
36702,4401,LINN
36735,4155,LINN
36780,2560,LINN
36996,5039,JOHNSON
37004,4126,JOHNSON
37115,3494,BLACK HAWK
37183,2538,BLACK HAWK
37227,4166,BUCHANAN
37425,5364,BLACK HAWK
37455,2575,BLACK HAWK
37497,2643,BLACK HAWK
37686,4760,BLACK HAWK
37713,4150,BLACK HAWK
37751,3690,BLACK HAWK
37788,3740,BLACK HAWK
37840,4910,BLACK HAWK
37886,2837,BLACK HAWK
37907,4223,BLACK HAWK
38002,4153,BLACK HAWK
38030,5031,BLACK HAWK
38090,5001,BUCHANAN
38174,3784,BUCHANAN
38251,4148,BUCHANAN
38252,5175,DELAWARE
38336,5271,BUCHANAN
38369,4189,DELAWARE
38376,5054,Delaware
38486,5171,DELAWARE
38538,3744,DUBUQUE
38562,4182,DUBUQUE
38591,4585,DUBUQUE
38604,5148,DUBUQUE
38626,4607,CLAYTON
38636,3782,CLAYTON
38681,4869,CLAYTON
38710,3679,CLAYTON
38782,4972,CLAYTON
38808,4908,CLAYTON
38862,4130,VAN BUREN
38881,3803,CLAYTON
38882,4855,CLAYTON
38903,3957,CLAYTON
38922,4943,WAPELLO
38938,4296,VAN BUREN
38991,2555,LEE
39129,4993,LEE
39160,2191,LEE
39313,4673,LEE
39356,4793,LEE
39384,3549,LEE
39457,2584,LEE
39546,4619,LEE
39643,4258,DES MOINES
39673,4898,DES MOINES
39690,4721,DES MOINES
39707,5204,DES MOINES
39726,4722,Des Moines
39732,4424,DES MOINES
39771,4752,Des Moines
39805,5149,DES MOINES
39842,2507,DES MOINES
39884,4897,DES MOINES
39944,2506,DES MOINES
40263,4794,DES MOINES
40292,5071,CEDAR
40309,4698,JEFFERSON
40326,4522,JASPER
40391,2601,JEFFERSON
41067,5040,MUSCATINE
41186,3838,Iowa
41327,5108,SCOTT
41354,5249,SCOTT
41437,4644,SCOTT
41445,5100,SCOTT
41470,4962,SCOTT
41504,3917,SCOTT
41598,4749,SCOTT
41614,3805,Scott
41693,5226,SCOTT
41741,4892,SCOTT
41821,4949,SCOTT
41836,5320,SCOTT
41896,2554,SCOTT
41915,4303,DES MOINES
41947,3918,SCOTT
42019,4967,SCOTT
42098,2629,POTTAWATTA
42378,2641,POTTAWATTA
42488,2613,POTTAWATTA
42653,5315,KEOKUK
42693,5316,KEOKUK
42736,4279,KEOKUK
42754,4580,WASHINGTON
42924,2653,WASHINGTON
43082,5163,HENRY
43089,5072,HENRY
43115,2558,HENRY
43274,4790,Des Moines
43377,4125,LOUISA
43422,4413,LOUISA
43435,3710,LOUISA
43440,3403,LOUISA
43522,5090,MUSCATINE
43536,5299,MUSCATINE
43545,5091,MUSCATINE
43631,2662,MUSCATINE
43855,4467,MUSCATINE
43897,4984,MUSCATINE
43986,2573,MUSCATINE
44175,5260,MUSCATINE
44194,3907,MUSCATINE
44259,4184,MUSCATINE
44309,5261,MUSCATINE
44344,4806,MUSCATINE
44366,3910,WASHINGTON
44380,4402,WASHINGTON
44395,4067,Wapello
44437,5252,IOWA
44449,3712,POWESHIEK
44495,3065,POWESHIEK
44516,4878,OBRIEN
44538,4193,OBRIEN
44563,3576,OBRIEN
44628,4485,OBRIEN
44664,4248,OBRIEN
44679,2661,OBRIEN
44784,3621,OBRIEN
44901,4589,OSCEOLA
44944,4891,OSCEOLA
45004,4336,LYON
45037,4434,LYON
45067,3705,LYON
45150,4337,LYON
45181,4006,LYON
45187,4904,LYON
45229,4820,LYON
45263,5153,LYON
45293,5263,SIOUX
45330,4909,SIOUX
45342,4563,SIOUX
45359,3763,SIOUX
45392,4525,PLYMOUTH
45424,4255,SIOUX
45470,5133,SIOUX
45516,4256,SIOUX
45539,3981,SIOUX
45586,2660,SIOUX
45647,3742,Plymouth
45688,2604,Plymouth
45756,4277,PLYMOUTH
45793,4231,PLYMOUTH
45824,3695,PLYMOUTH
45865,3484,CHEROKEE
45887,5311,OBRIEN
45921,4569,OBRIEN
45943,4532,BUENA VIST
45955,3964,BUENA VIST
45999,5266,BUENA VIST
46004,3461,Adair
46026,4654,Adair
46046,4416,GUTHRIE
46065,4417,ADAIR
46076,4267,CASS
46129,3833,CASS
46159,2591,CASS
46326,5081,CASS
46347,4313,CASS
46364,5208,CASS
46368,4114,CASS
46418,5082,CASS
46426,5194,Harrison
46455,5177,POTTAWATTA
46464,5195,Pottawatta
46483,4159,POTTAWATTA
46718,4475,POTTAWATTA
46780,3521,POTTAWATTA
46808,4867,POTTAWATTA
46825,5342,POTTAWATTA
46855,4633,POTTAWATTA
46890,5077,POTTAWATTA
46924,3611,HARRISON
