,Store Number,Address
10042,4865,412 GARFIELD ST
10177,4994,200 BROADWAY ST
11599,4966,1100 E 5TH ST
12816,4936,2 N  EYBERG ST
12973,4946,306 BYRON AVE
14023,4225,1701 IOWA AVE
16218,4977,2520 GORDON DR
18607,3534,207 S HILLTOP AVE
19036,4693,250 16th AVE SW
19121,4784,2330 WILEY BLVD SW
22149,4618,"1581, 1st AVE SE"
25654,4494,800 HAMILTON BLVD
26026,4029,204 S MAIN ST
29237,4906,3221 FIRST AVE SE
41249,4101,301 WATER ST  PO BOX 166
41560,4646,104 4th ST
43722,4632,1443 2nd AVE
44074,3003,820 E. MAIN STREET
47180,3536,111 S COMMERCIAL AVE
47299,4095,200 BROADWAY ST
85682,5016,3326 CENTER POINT RD NE
98339,4441,204 N Main St
110057,4965,6087 HWY 110 S
127265,4460,808 S Main St
138419,4816,1303 W SHERIDAN AVE
140964,4534,141 W GILLET ST
166798,4331,303 HIGHWAY 150 N
283043,4871,125 W JEFFERSON AVE
1568970,9014,5520 190th St.
2,3929,515 1/2 BROADWAY ST
11,4187,109  5TH ST
89,4564,408 6th AVE
134,4758,1100 EAST 5TH ST
290,3583,220 EAST JEFFERSON
370,3878,2128 COLLEGE ST
410,4526,4307 W LOCUST ST
457,4219,910 N 8TH ST W
562,4593,1404 MAIN ST
565,4581,2728 CENTER ST
599,4833,1804 135th AVE
643,3482,525 N MAPLE ST
675,4257,821 BROADWAY
737,4347,102 W MAYNE
808,2503,849 SOUTH ANKENY BLVD.
887,3016,200 SOUTH STATE ST
891,3531,508 MAIN ST
993,3885,400 EAST FIRST ST
1066,4649,3418 W BROADWAY
1234,4484,200 E 3RD
1330,3911,813 1/2 HIGHLAND ST
1545,4302,1829 6TH AVE
1552,4442,212 10TH ST
1643,4348,101 E 4TH
1807,4035,3105 HUDSON RD
1810,3697,51 W 32ND ST PO BOX 300
1910,4809,"123, MADISON ST"
1952,4327,655 ROBBINS RD
2034,4894,828 W RIVER DR
2057,2664,1003 KELLY ST
2195,4814,306 BYRON AVE
2539,3895,550 DIVISION ST
2708,4304,208  4TH ST
2788,4328,313 COLLEGE DR
2839,4076,1026 W RIVER DR #B
3224,4606,1203 TRI VIEW AVE
3355,4294,1544 SUPERIOR ST
3709,4043,1703 MT PLEASANT ST
3748,4614,6401 DOUGLAS AVE ste 1
3895,4886,1500 1st AVE NE
4082,4851,3200 16th AVE SW
4213,4078,2323 MAIN ST
4342,4850,4141 CENTERPOINT RD NE
4830,4080,809 EAST 18 ST
5061,3492,319 COURT ST
5311,4922,101 W MAIN ST
5508,4109,1516 SE 1ST
6944,2422,700 GRAND AVENUE
7750,4044,421 N MAIN ST
10008,4341,524 MAIN ST
10410,4826,204 S MAIN ST
11178,3734,215 S RERICK AVE
14337,4422,104 N DIVISION ST
16977,4671,9 N ELK RUN RD
22894,4822,413 A AVE W
25837,4680,4121 SE 14TH ST
28562,3725,101  6TH ST
28681,4916,505 E VINE AVE
30461,4033,221 MAIN ST
31219,4918,6087 HWY 110 S
36699,4052,"300  1ST ST, STE F"
46612,4113,3134 MANAWA CENTRE DR
51325,4832,1107 S 16 ST
53421,4215,9 N ELK RUN RD
78341,3812,6087 HWY 110 SOUTH
95189,4333,1117 EAST 4TH
95261,4570,"1804, HWY BLVD"
113614,4815,1310 W SHERIDAN AVE
479107,3543,101 MAIN ST
1382902,9017,"29538, 210th St."
27,3906,412 N ROOSEVELT ST
53,2534,8601 DOUGLAS
154,3480,719  2ND AVE W PO BOX 401
208,4280,1301 EAGLE RIDGE RD
224,2132,100 E ELM
261,3760,3107 N BRADY ST
305,4483,108 E COLLEGE
334,2645,510 E 6TH ST
351,4309,430 S 35TH ST
637,2511,"1440 32ND STREET, N.E."
686,4094,218 WELCH AVE STE 3
704,4038,501 HIGHWAY 39 NORTH
763,4639,902 1st AVE N
808,4399,33083 UTE AVE
896,4039,1817 W BROADWAY
939,3852,502 E AVE NW
1203,2634,3615 LINCOLN WAY
1217,4049,423 SHARP ST
1231,4040,1801 VALLEY VIEW DR
1245,4763,4141 CENTER POINT RD NE
1324,4282,4107 CENTER POINT RD
1421,4363,400 S MAIN ST
1459,4330,702 1ST AVE E
1583,3554,102 N MAIN
1612,4666,2635 ADVENTURELAND DR
1701,4469,516 HWY 141
1931,4329,2635 ADVENTURELAND DR
2007,4115,2105 FOREST
2036,4218,2844 UNIVERSITY AVE
2351,4262,1004 HIGHWAY 30 W
2464,4391,508 SE KENT ST
2518,4041,2344 CAMANCHE AVE
2617,4394,702 CHATBURN AVE
2642,4144,1908 CLARK ST
2751,4350,916 E MAIN ST
2975,3064,804 NILE KINNICK DR S
3325,4066,1201 NORTH JEFFERSON STE 100
4035,4550,1459 ANSBOROUGH AVE
4153,3642,327  5TH ST
4185,4213,630 N 3RD ST
4263,3596,204 MAIN ST
4280,4323,902  1ST AVE N
4297,2161,FIRST & MAIN
4571,4352,301 W TAYLOR ST
4774,4383,903 N SUMMER AVE
6379,4259,901 S MARKET
6609,4579,2293 HWY 30
8200,4400,413 A AVE W
8476,4389,204 S MAIN ST
8800,4026,810 W 7 ST
10576,4390,1400 E WASHINGTON ST
10958,3530,175  1ST ST SE
11644,3569,419 MERRILL ST
12737,3172,20 SOUTH 4TH ST
14753,4174,1737  AVE H
15430,4682,906 N HIGHWAY 5
29905,4407,1201 E MAIN ST
36483,4354,1303 W SHERIDAN AVE
37582,3832,211 MAIN ST
44455,2260,509 FIRST AVE
140583,4226,21 W MAIN ST
142813,4830,"7600, UNIVERSITY AVE"
143579,4314,304  4TH ST
