,Store Number,Address
25603,4725,2905 W  1st St
25831,2528,3221 SE 14th St
26020,4603,3200 SE 14th St
26057,2561,4605 Fleur Drive
26231,4301,1805 SE 14th St
26259,5129,4121 Fleur Dr
26297,4595,4024 Fleur Dr
26347,4997,"218, 6th Ave #101"
26388,4942,333 E GRAND AVE
26395,2849,3151 SE 14th St
26409,4798,3140 SE 14th St
26438,3678,1918 SE 14th St
26449,4877,1775 NW 86th St
26461,2248,3500 Ingersoll Ave
26521,5127,3425 Ingersoll Ave
26588,4804,3501 Ingersoll Ave
26602,2535,1700 Valley West Dr
26641,4230,10151 University Ave
26654,2630,1010  60th St
26673,4373,141 S Jordan Creek Pkwy
26680,3814,7205 Mills Civic Pkwy
26692,3899,6365 Stagecoach Dr
26944,5347,220 50th St
26965,4927,3501 Ep True Pkwy
26993,2521,1990 Grand Avenue
27165,5146,329 Grand Ave
27177,4718,1660 22nd St
27235,4521,504 16th St N
27264,4190,1207 N Elm St
27325,2671,"106, W Washington St"
27367,5205,201 Idaho St
27387,4158,709 Monterey Dr
27406,4613,402 E 6th St
27419,4688,105 E 6th St
27441,2593,905 US Highway 30 West
27477,4014,510 C Ave
27602,4410,1219 1st St
27620,4001,2014 Kitty Hawk Ave
27651,2595,"1620  4th Ave, South"
27805,3756,316 Main St
27846,5343,403 Main St.
27858,4917,1115 Ia Hwy 141
27874,2612,1215  141 St
27990,4320,1315 Willis Ave
28014,5012,"2810, Willis Ave"
28034,3831,301 Annex Rd
28061,3987,111 S Phillips St
28064,4169,1824 Hubbell Ave
28111,4385,1453 Co Hwy G76
28146,5144,4625 SE Delaware Ave
28201,2628,1616 Edgington
28219,4110,706 Highway 57
28272,2657,1604 Bent
28375,2620,7101 University Ave
28625,4893,105 Grand Ave
28639,4594,901 SW 63rd St
28664,4369,2992 Sunset Dr
28675,4092,1711 Sunset Dr
28700,4260,215 S Main St
28720,2550,510 West Mclane
28772,3997,2400 College Dr
28782,4419,2091 E Main St
28788,2668,1004 W 1st St
28819,3826,777 Casino Dr
28855,4382,1293 8th Ave
28937,4801,3030 University Ave
28952,5098,1621 University Ave
28962,4165,113 SE Delaware Ave Ste 101
28980,4549,702 Us Hwy 65
28986,5337,119 N. Main St
29008,4659,409 E Center
29031,4250,1232 14th St
29074,4455,2359 Edgington Ave
