,Store Number,City
20344,4461,Windsor Heights
20403,4388,Clive
20443,2854,Urbandale
20528,4392,Clive
20569,4732,Clive
20578,4733,Urbandale
20586,4661,Grimes
20612,4374,Grimes
20632,4209,Grimes
20673,4375,Grimes
20687,4344,Grimes
20842,4901,Polk City
20868,4362,Polk City
20878,4083,Ankeny
20913,4609,Ankeny
20926,4397,Ankeny
20942,4405,Ankeny
20986,2106,Cedar Falls
21074,2130,Waterloo
21178,5155,Waterloo
21213,4988,Cedar Falls
21223,4932,Cedar Falls
21312,4959,Cedar Falls
21385,3995,Cedar Falls
21421,4761,Waterloo
21429,4958,Cedar Falls
21525,3713,Mason City
21552,3528,Mason City
21573,2515,Mason City
21611,3664,Northwood
21771,2652,Mason City
21869,2582,Mason City
21994,5034,Mason City
22025,5251,Mason City
22075,4668,Clear Lake
22092,3456,Clear Lake
22270,4969,Clear Lake
22381,4091,Clear Lake
22402,5069,Lake Mills
22408,5334,Lake Mills
22446,5115,Manly
22458,4104,Mason City
22469,5280,Mason City
22483,5247,Rockwell
22521,3525,Washington
22579,2517,Newton
22711,4807,Williamsburg
22730,4787,Swisher
22773,4493,Cedar Rapids
22938,4500,North Liberty
22979,4427,North Liberty
23002,5196,Coralville
23015,4713,Coralville
23033,3670,Coralville
23098,4366,Tiffin
23121,5011,Williamsburg
23141,3888,Grinnell
23152,2579,Grinnell
23195,3054,Grinnell
23215,4345,Grinnell
23297,4185,Grinnell
23319,5138,Kellogg
23342,4604,Newton
23468,5116,Newton
23515,4194,Newton
23537,3041,Colfax
23583,3514,Fort Dodge
23626,9002,Leclaire
23636,9902,Leclaire
23640,5321,Belle Plaine
23645,5303,Marshalltown
23662,3719,Marshalltown
23687,2544,Marshalltown
23948,5248,Marshalltown
24018,5346,Marshalltown
24088,4756,Marshalltown
24094,5324,State Center
24130,5179,Baxter
24141,4727,Ankeny
24159,4810,Ankeny
24177,4084,Ankeny
24194,4404,Ankeny
24205,4726,Ankeny
24432,4601,Des Moines
24450,4598,Des Moines
24474,4795,Des Moines
24477,5125,Des Moines
24541,4803,Des Moines
24555,4140,Des Moines
24779,4802,Des Moines
24790,5162,Urbandale
24801,3877,Des Moines
24935,4941,Urbandale
25121,4447,Urbandale
25132,2587,Johnston
25356,2648,West Des Moines
25588,4368,Johnston
25603,4725,Ankeny
25831,2528,Des Moines
26020,4603,Des Moines
26057,2561,Des Moines
26231,4301,Des Moines
26259,5129,Des Moines
26297,4595,Des Moines
26347,4997,Des Moines
26388,4942,Des Moines
26395,2849,Des Moines
26409,4798,Des Moines
26438,3678,Des Moines
26449,4877,Clive
26461,2248,Des Moines
26521,5127,Des Moines
26588,4804,Des Moines
26602,2535,West Des Moines
26641,4230,Clive
26654,2630,West Des Moines
26673,4373,West Des Moines
26680,3814,West Des Moines
26692,3899,West Des Moines
26944,5347,West Des Moines
26965,4927,West Des Moines
26993,2521,West Des Moines
27165,5146,West Des Moines
27177,4718,West Des Moines
27235,4521,Grand Junction
27264,4190,Jefferson
27325,2671,Jefferson
27367,5205,Glidden
27387,4158,Carroll
27406,4613,Carroll
27419,4688,Carroll
27441,2593,Carroll
27477,4014,Denison
27602,4410,Perry
27620,4001,Carroll
27651,2595,Denison
27805,3756,Manning
27846,5343,Coon Rapids
27858,4917,Perry
27874,2612,Perry
27990,4320,Perry
28014,5012,Perry
28034,3831,Madrid
28061,3987,Algona
28064,4169,Des Moines
28111,4385,New Virginia
28146,5144,Ankeny
28201,2628,Eldora
28219,4110,Parkersburg
28272,2657,Bedford
28375,2620,Windsor Heights
28625,4893,West Des Moines
28639,4594,Des Moines
28664,4369,Norwalk
28675,4092,Norwalk
28700,4260,Osceola
28720,2550,Osceola
28772,3997,Osceola
28782,4419,Lamoni
28788,2668,Leon
28819,3826,Osceola
28855,4382,West Des Moines
28937,4801,Des Moines
28952,5098,Des Moines
28962,4165,Ankeny
28980,4549,Colo
28986,5337,Conrad
29008,4659,Conrad
29031,4250,Eldora
29074,4455,Eldora
29081,4657,Wellsburg
29087,5206,Grundy Center
29127,4495,Grundy Center
29147,4396,Reinbeck
29179,4306,Hampton
29223,4547,Hampton
29248,4421,Hampton
29273,2460,Hampton
29314,4658,Iowa Falls
29327,4284,Iowa Falls
29340,2658,Mount Ayr
29354,3813,Mount Ayr
29398,2655,Clarinda
29424,4249,Clarinda
29467,5210,Clarinda
29514,4246,Shenandoah
29523,2607,Shenandoah
29601,4937,Shenandoah
29608,4629,Glenwood
29637,4708,Glenwood
29668,4010,Glenwood
29705,4738,Council Bluffs
29714,4545,Council Bluffs
29751,4510,Malvern
29768,2518,Red Oak
29883,4318,Red Oak
29899,2656,Corning
29925,2327,Corning
29975,5110,Lenox
30000,3830,Creston
30029,2553,Creston
30066,2672,Winterset
30091,4823,Creston
30113,4291,Creston
30162,4531,Afton
30169,2228,Winterset
30222,4848,Winterset
30296,4907,Cedar Falls
30309,4947,Cedar Falls
30451,4147,Cedar Falls
30463,3819,Decorah
30469,4631,Cedar Falls
30490,4914,Cedar Falls
30507,2835,Cedar Falls
30523,4723,Cedar Falls
30536,5007,Denver
30550,5181,Denver
30560,5352,Tripoli
30581,3717,Sumner
30607,3857,Waukon
30637,4762,Fort Atkinson
30727,4818,Decorah
30728,4183,Decorah
30773,3721,Decorah
30806,4289,Waukon
30826,2178,Waukon
30918,5017,Lansing
30959,5330,Postville
30988,4973,West Union
31043,4466,Fayette
31055,5180,Oelwein
31071,4628,Oelwein
31089,4156,Oelwein
31110,5199,Oelwein
31123,3584,Oelwein
31163,4395,Ellsworth
31183,4651,Jewell
31208,5297,Webster City
31232,2602,Webster City
31262,4709,Ames
31388,5187,Ames
31405,4235,Webster City
31420,5296,Webster City
31427,4133,Webster City
31450,4459,Eagle Grove
31465,4236,Eagle Grove
31531,4556,Goldfield
31542,3056,Clarion
31567,4591,Clarion
31579,5287,Clarion
31585,5302,Belmond
31595,3654,Belmond
31611,4247,Belmond
31628,4172,Alden
31649,4355,Story City
31671,4081,Story City
31738,4102,Ames
31785,4675,Ames
31807,4767,Ankeny
31832,5245,Des Moines
31909,5051,Des Moines
31934,4478,Des Moines
31969,4597,Des Moines
32016,5145,Des Moines
32056,4186,Des Moines
32076,5131,Des Moines
32116,3700,Avoca
32163,5322,Avoca
32190,4743,Council Bluffs
32240,3443,Council Bluffs
32316,3728,Council Bluffs
32388,4476,Council Bluffs
32399,5182,Council Bluffs
32424,3963,Council Bluffs
32490,4740,Council Bluffs
32504,5327,Council Bluffs
32508,4317,Greenfield
32559,4626,Council Bluffs
32579,4808,Council Bluffs
32591,4474,Council Bluffs
32615,4608,Council Bluffs
32652,5314,Council Bluffs
32750,4462,Buffalo Center
32768,4509,Ames
32777,3477,Council Bluffs
32813,4503,Treynor
32862,4516,Oakland
32947,4463,Garner
32973,4780,Britt
32983,3682,Wesley
33001,4268,Algona
33058,2585,Algona
33174,3842,Bancroft
33224,4650,Swea City
33259,4073,Forest City
33358,3881,Marshalltown
33408,5126,Des Moines
33547,2539,Iowa Falls
33675,2651,Waverly
33866,4146,Waverly
33906,4538,Clarksville
33913,4999,Clarksville
33923,4700,Allison
33936,3676,Greene
33997,4203,Waverly
34036,4924,Nashua
34072,3688,Fredericksburg
34087,4285,New Hampton
34157,4143,Lawler
34287,4233,Cresco
34328,4769,Elma
34347,4559,Osage
34440,3542,St Ansgar
34468,4986,Floyd
34485,5134,Charles City
34497,5121,Charles City
34536,4321,Charles City
34572,2578,Charles City
34697,4524,Nora Springs
34727,3045,Britt
34759,4600,Des Moines
34823,4273,Des Moines
34928,4057,Des Moines
34929,3825,Des Moines
34974,4062,Des Moines
35055,5128,Des Moines
35109,2852,Des Moines
35161,3612,Maquoketa
35186,3778,Des Moines
35289,2850,Des Moines
35302,5338,Des Moines
35597,3886,Anamosa
35621,5333,Anamosa
35741,3829,Mount Vernon
35816,4856,Lisbon
35876,4562,Mechanicsville
35889,4953,Lost Nation
35930,4051,Maquoketa
36159,3488,Bellevue
36177,4540,Bellevue
36188,4690,Baldwin
36202,4543,Marion
36216,4180,Marion
36308,4876,Hiawatha
36326,3707,Cedar Rapids
36398,2569,Cedar Rapids
36548,4605,Marion
36586,4736,Marion
36623,2514,Marion
36682,2847,Marion
36702,4401,Marion
36735,4155,Marion
36780,2560,Marion
36996,5039,Solon
37004,4126,Solon
37115,3494,Waterloo
37183,2538,Waterloo
37227,4166,Jesup
37425,5364,Evansdale
37455,2575,Waterloo
37497,2643,Waterloo
37686,4760,Waterloo
37713,4150,Waterloo
37751,3690,Waterloo
37788,3740,Waterloo
37840,4910,Waterloo
37886,2837,Waterloo
37907,4223,Evansdale
38002,4153,Evansdale
38030,5031,Raymond
38090,5001,Independence
38174,3784,Independence
38251,4148,Independence
38252,5175,Delhi
38336,5271,Winthrop
38369,4189,Manchester
38376,5054,Manchester
38486,5171,Delaware
38538,3744,Dyersville
38562,4182,Dyersville
38591,4585,Farley
38604,5148,Holy Cross
38626,4607,Guttenberg
38636,3782,Guttenberg
38681,4869,Guttenberg
38710,3679,Monona
38782,4972,Monona
38808,4908,Elkader
38862,4130,Keosauqua
38881,3803,Strawberry Point
38882,4855,Strawberry Point
38903,3957,Edgewood
38922,4943,Eldon
38938,4296,Keosauqua
38991,2555,Keokuk
39129,4993,Keokuk
39160,2191,Keokuk
39313,4673,West Point
39356,4793,Fort Madison
39384,3549,Fort Madison
39457,2584,Fort Madison
39546,4619,Fort Madison
39643,4258,Burlington
39673,4898,Burlington
39690,4721,Burlington
39707,5204,Burlington
39726,4722,Burlington
39732,4424,Burlington
39771,4752,Burlington
39805,5149,Burlington
39842,2507,Burlington
39884,4897,Burlington
39944,2506,Burlington
40263,4794,Burlington
40292,5071,Durant
40309,4698,Fairfield
40326,4522,Monroe
40391,2601,Fairfield
41067,5040,Wilton
41186,3838,Bettendorf
41327,5108,Bettendorf
41354,5249,Davenport
41437,4644,Davenport
41445,5100,Davenport
41470,4962,Davenport
41504,3917,Davenport
41598,4749,Davenport
41614,3805,Davenport
41693,5226,Davenport
41741,4892,Davenport
41821,4949,Davenport
41836,5320,Davenport
41896,2554,Davenport
41915,4303,Mediapolis
41947,3918,Davenport
42019,4967,Blue Grass
42098,2629,Council Bluffs
42378,2641,Council Bluffs
42488,2613,Council Bluffs
42653,5315,Sigourney
42693,5316,Sigourney
42736,4279,Keota
42754,4580,Washington
42924,2653,Washington
43082,5163,Mount Pleasant
43089,5072,Mount Pleasant
43115,2558,Mount Pleasant
43274,4790,Mediapolis
43377,4125,Wapello
43422,4413,Wapello
43435,3710,Columbus Junction
43440,3403,Columbus Junction
43522,5090,Muscatine
43536,5299,Muscatine
43545,5091,Muscatine
43631,2662,Muscatine
43855,4467,MUSCATINE
43897,4984,Muscatine
43986,2573,Muscatine
44175,5260,Muscatine
44194,3907,Muscatine
44259,4184,Muscatine
44309,5261,Muscatine
44344,4806,West Liberty
44366,3910,Riverside
44380,4402,Riverside
44395,4067,Wellman
44437,5252,North English
44449,3712,Montezuma
44495,3065,Montezuma
44516,4878,Primghar
44538,4193,Hartley
44563,3576,Hartley
44628,4485,Sanborn
44664,4248,Sheldon
44679,2661,Sheldon
44784,3621,Sheldon
44901,4589,Sibley
44944,4891,Sibley
45004,4336,George
45037,4434,Rock Rapids
45067,3705,Rock Rapids
45150,4337,Larchwood
45181,4006,Larchwood
45187,4904,Larchwood
45229,4820,Inwood
45263,5153,Inwood
45293,5263,Rock Valley
45330,4909,Rock Valley
45342,4563,Ireton
45359,3763,Hawarden
45392,4525,Akron
45424,4255,Orange City
45470,5133,Orange City
45516,4256,Sioux Center
45539,3981,Sioux Center
45586,2660,Sioux Center
45647,3742,Lemars
45688,2604,Lemars
45756,4277,Le Mars
45793,4231,Le Mars
45824,3695,Remsen
45865,3484,Marcus
45887,5311,Paullina
45921,4569,Sutherland
45943,4532,Sioux Rapids
45955,3964,Sioux Rapids
45999,5266,Albert City
46004,3461,Stuart
46026,4654,Stuart
46046,4416,Casey
46065,4417,Adair
46076,4267,Anita
46129,3833,Atlantic
46159,2591,Atlantic
46326,5081,Atlantic
46347,4313,Atlantic
46364,5208,Atlantic
46368,4114,Atlantic
46418,5082,Atlantic
46426,5194,Shelby
46455,5177,Minden
46464,5195,Council Bluffs
46483,4159,Council Bluffs
46718,4475,Council Bluffs
46780,3521,Council Bluffs
46808,4867,Council Bluffs
46825,5342,Carter Lake
46855,4633,Carter Lake
46890,5077,Council Bluffs
46924,3611,Logan
46929,5044,Crescent
46944,4152,Missouri Valley
47068,5089,Missouri Valley
47098,5087,Logan
47127,4000,Woodbine
47236,5362,Dunlap
47237,2650,Harlan
47271,4995,Harlan
47284,4229,Harlan
47424,5173,Audubon
47442,4473,Panora
47633,5094,Cedar Rapids
47640,4950,Cedar Rapids
47733,2841,Cedar Rapids
47744,4491,Cedar Rapids
48569,4517,Cedar Rapids
48578,4744,Cedar Rapids
48623,4377,Des Moines
48912,4596,Des Moines
48953,4141,Des Moines
49037,4641,Des Moines
49073,4800,Des Moines
49224,4138,Indianola
49491,4836,Iowa City
49501,4457,Iowa City
49517,4456,Iowa City
49543,3565,Iowa City
49684,4989,Iowa City
50029,5219,Iowa City
50118,4837,Iowa City
50220,4504,Indianola
50248,5118,Peosta
50594,2465,Dubuque
50713,4765,Dubuque
51110,5306,Dubuque
51299,4171,Cascade
51537,5239,Central City
51754,5211,Johnston
51798,4853,Johnston
52239,4678,Adel
52298,4359,Waukee
52387,4411,De Soto
52417,4872,Earlham
52427,4868,Waukee
52472,4446,Urbandale
52548,4458,Johnston
52993,4923,Aurelia
53260,4905,Rockwell City
53371,4930,Boone
53618,5023,Cedar Rapids
53646,5024,Cedar Rapids
53654,2529,Cedar Rapids
53764,4176,Cedar Rapids
54079,4490,Cedar Rapids
54434,4720,Chariton
54899,4840,Waterloo
55169,5101,Waterloo
55485,4472,Centerville
55857,4380,West Branch
56227,4480,Clinton
56486,4412,Tipton
56505,4170,West Branch
56658,4508,Spencer
56663,3677,Everly
57345,4774,Estherville
57346,4251,Ames
57369,4899,Graettinger
57616,5267,Fort Dodge
57792,4702,Fort Dodge
57802,2851,Fort Dodge
57942,4514,Fort Dodge
58085,5048,Rolfe
58099,4326,Stratford
58118,4701,Boone
58142,4896,Harpers Ferry
58400,3973,Ames
58630,4436,Ames
58818,2853,Ames
58827,4960,Ames
59332,4356,Nevada
59417,4575,Slater
59743,4191,Pella
59843,3789,Oskaloosa
60026,2600,Oskaloosa
60074,5301,Ottumwa
60138,4735,Ottumwa
60475,4293,Eddyville
60486,4655,Prairie City
60618,4135,Altoona
60638,4919,Altoona
61579,4841,Davenport
61586,4952,Davenport
62138,5065,Sioux City
62579,5045,Sioux City
62880,4703,Sioux City
63091,4705,Coralville
63336,5096,North Liberty
63366,5225,North Liberty
63743,5207,Cedar Rapids
63759,4852,Cedar Rapids
63859,4745,Cedar Rapids
63911,4921,Cedar Rapids
63935,4861,Cedar Rapids
64045,5147,Victor
64157,5317,Toledo
64331,5269,Alburnett
64369,5253,Center Point
64389,4551,Urbana
64525,4980,Washburn
64537,4981,Traer
64554,4770,Hudson
64843,4731,Clive
64955,5058,Urbandale
65013,5332,Grimes
65213,4873,Granger
65451,3540,Davenport
65538,4748,Davenport
65953,4911,Princeton
66006,5156,Le Claire
66497,4353,Clear Lake
66803,5283,Mason City
67345,5282,Mason City
67354,5212,Mason City
67438,4553,Sheffield
67597,3624,Newton
67931,4364,Grinnell
68075,4365,Grinnell
68290,5290,Newton
68340,4429,Colfax
68891,4734,Urbandale
69220,5307,Johnston
69251,4406,Ankeny
69508,5117,Marshalltown
69527,4205,Marshalltown
69551,2592,Marshalltown
69674,4665,Ankeny
70469,4696,West Des Moines
70481,4519,West Des Moines
70577,5255,West Des Moines
70586,4379,West Des Moines
70704,4518,West Des Moines
70712,3806,West Des Moines
70746,5340,West Des Moines
70755,4371,West Des Moines
70962,4719,West Des Moines
