,Item Description,Vendor Number
348,Deep Eddy Ruby Red,259.0
357,Jack Daniel's Tennessee Fire,85.0
358,Jack Daniel's Tennessee Honey,85.0
363,Johnnie Walker Red,260.0
365,Jose Cuervo Golden Margarita,395.0
374,Patron Silver Tequila,410.0
375,Reyka Vodka,240.0
376,Rumchata,305.0
381,Wild Turkey 101 Mini,461.0
383,Smirnoff Vanilla,260.0
387,Svedka Strawberry Lemonade,115.0
391,Templeton Rye,255.0
396,Wild Turkey American Honey,461.0
398,Woodford Reserve Bourbon,85.0
399,Captain Morgan Original Spiced Rum Pet,260.0
400,Di Amore Amaretto,55.0
401,Smirnoff Vodka Traveller,260.0
402,Johnnie Walker Black,260.0
407,Jim Beam Mini,65.0
412,Dekuyper Peachtree Schnapps Pet,65.0
414,Scoresby Rare Scotch,260.0
415,Dekuyper Melon Liqueur,65.0
419,Bird Dog Blackberry Whiskey,492.0
420,Burnett's Gin London Dry,259.0
421,Tequila Rose Liqueur,300.0
422,Juarez Tequila Silver,434.0
425,Captain Morgan White,260.0
426,Cruzan Dark Rum,65.0
428,Rondiaz Rum White,322.0
434,UV Vodka PET,380.0
435,Popov Vodka 80 Prf,260.0
438,Smirnoff Vodka 80 Prf Pet,260.0
441,Black Velvet Traveler,115.0
443,Revel Stoke Roasted Apple,380.0
445,Chi-Chi's Mexican Mudslide,55.0
446,Chi-Chi's Margarita W/tequila,55.0
448,Jose Cuervo Authentic Strawberry Margarita,395.0
449,Jose Cuervo Authentic Watermelon Margarita,395.0
450,1800 Peach,395.0
452,Tooters Blu-Dacious Kamikazi Mini,308.0
455,Tim Smith's Climax Moonshine,208.0
457,Ciroc Apple,260.0
459,Midnight Moon Apple Pie,384.0
462,Jim Beam Devil's Cut,65.0
464,Southern Comfort 100 Prf,421.0
465,Absolut Apeach,370.0
466,Malibu Coconut Rum Mini,370.0
469,Hpnotiq Mini,259.0
470,Kinky Red Liqueur Mini,322.0
475,Canadian Mist Whisky,85.0
488,Five O'clock PET Vodka,297.0
489,Bailey's Original Irish Cream Minis,260.0
490,Korski Vodka,434.0
492,Phillips Vodka Ez Pack,380.0
494,Corralejo Reposado Tequila,255.0
495,St. Brendan's Superior Irish Cream Liqueur,434.0
497,Rumchata Mini,305.0
499,Black Velvet Mini,115.0
501,99 Bananas,55.0
508,Jim Beam Apple,65.0
518,Revel Stoke Roasted Pecan,380.0
520,Citronge,410.0
526,99 Cinnamon Mini,55.0
531,Jose Cuervo Especial Silver,395.0
541,Dekuyper Cherry Pucker,65.0
546,Dekuyper Grape Pucker,65.0
547,Dekuyper Hot Damn!,65.0
553,Malibu Pineapple Rum,370.0
562,Jose Cuervo Authentic Light Margarita Lime,395.0
572,Bacardi Superior Rum Mini,35.0
610,Uv Cake Vodka Mini,380.0
618,Captain Morgan 100 Proof Spiced Rum,260.0
636,Popov Vodka 80 Prf Traveler,260.0
643,Paramount Peach Schnapps,434.0
654,Southern Comfort Mini,421.0
657,Jose Cuervo Especial Reposado Square,395.0
662,UV Peach,380.0
678,Kraken Rum w/ Tiki Glass,395.0
679,Smirnoff 1.75L PET w/2-50ml Smirnoff Peppermint,260.0
683,Cedar Ridge Bourbon,125.0
684,Smirnoff Whipped Cream,260.0
687,Captain Morgan Pineapple,260.0
689,Uv Vodka,380.0
690,Swell Vodka,195.0
693,Four Roses Small Batch,184.0
694,Jim Beam Traveler,65.0
695,Rich & Rare Reserve,421.0
700,Burnett's Vodka 80 Prf,259.0
701,Paul Masson Peach Grande Amber Brandy,115.0
705,Absolut Mandrin,370.0
706,Svedka Cucumber Lime,115.0
709,Paramount Sloe Gin,434.0
710,Tanqueray Rangpur Gin,260.0
713,Malibu Pineapple Upside Down Cake,370.0
716,Ice Hole Butterscotch Schnapps,380.0
718,Carolan's Irish Cream Liqueur,461.0
727,Montezuma Gold Tequila,55.0
736,Montezuma Triple Sec,55.0
738,Dekuyper Buttershots,65.0
741,Captain Morgan Spiced Barrel,260.0
742,Captain Morgan Parrot Bay Coconut,260.0
744,Bacardi Superior PET,35.0
745,Lady Bligh Spiced Rum,434.0
746,Bacardi Superior Rum Pet,35.0
748,Arrow Peppermint Schnapps Mini,434.0
751,Rumple Minze Peppermint Mini,260.0
756,Luxardo Maraschino Cherry,391.0
757,Crown Royal XO,260.0
758,Crown Royal Special Reserve,260.0
774,Admiral Nelson Cherry Spiced Rum,259.0
776,Phillips White Rum,380.0
789,Jeremiah Weed Sweet Tea Vodka,260.0
790,Uv Blue Raspberry Vodka Traveller,380.0
792,Burnett's Limeade Vodka,259.0
793,UV Cake Vodka,380.0
796,Romana Sambuca Italian Liquore,260.0
798,Dr. McGillicuddy's Peach,421.0
800,Kinky Liqueur,322.0
802,Thunder 101 Peppermint Schnapps,434.0
803,Arrow Peach Schnapps,434.0
805,Dekuyper Watermelon Pucker,65.0
817,Bulleit 95 Rye,260.0
819,Old Camp Peach Pecan Whiskey,395.0
820,New Amsterdam Gin,205.0
823,Korbel Brandy Pet,85.0
826,Drambuie w/2 Glasses,240.0
829,Old Forester Signature 100prf Bourbon,85.0
846,Nikolai Vodka,421.0
852,Northern Light,55.0
856,Seagrams Lime Twisted Gin,370.0
860,Bird Dog Strawberry,492.0
863,Sauza Blanco Silver,65.0
864,Jose Cuervo Authentic Grapefruit Tangerine Margarita,395.0
868,Five Star Pet,297.0
872,Cruzan Mango Rum,65.0
873,Paramount Gold Rum,434.0
876,Arrow Blackberry Flav Brandy,434.0
877,Piehole Cherry Pie,260.0
880,Rumcoqui,216.0
881,Dekuyper Michigan Cherry Liqueur,65.0
886,Mr. Boston Blackberry Brandy,55.0
887,Paramount Cherry Flavored Brandy,434.0
896,Absolut Pears,370.0
899,Three Olives Loopy Flavored Vodka,395.0
900,Burnetts Raspberry Vodka,259.0
901,Burnett's Citrus,259.0
905,Smirnoff Cranberry,260.0
906,Smirnoff Green Apple,260.0
908,Smirnoff Sours Fruit Punch,260.0
910,Smirnoff Sours Watermelon,260.0
913,Russell's Reserve 10YR,461.0
917,George Dickel Rye,260.0
918,Hot Stuff,380.0
920,Seagrams Seven Crown Dark Honey,260.0
921,Southern Host Whiskey Liqueur,259.0
923,Familia Camarena Silver,205.0
924,Exotico Blanco,434.0
925,Familia Camarena Reposado,205.0
927,Glenfiddich 12yr Special Reserve,240.0
928,Malibu Passion Fruit Rum,370.0
929,Malibu Black,370.0
930,Bacardi Black,35.0
935,Captain Morgan Private Stock,260.0
937,Kraken Black Spiced Rum,395.0
940,Arrow Sloe Gin,434.0
942,Grangala Triple Orange Liqueur,330.0
