,Cost Total
897,39.72
898,39.72
899,39.72
900,39.72
901,39.72
902,39.72
903,39.72
904,40.44
905,39.72
906,39.72
907,95.52
908,44.400000000000006
909,44.400000000000006
910,88.80000000000001
911,44.400000000000006
912,44.400000000000006
913,78.0
914,78.0
915,75.0
916,78.0
917,78.0
918,75.0
919,75.0
920,75.0
921,75.0
922,78.0
923,78.0
924,75.0
925,156.0
926,75.0
927,75.0
928,78.0
929,75.0
930,78.0
931,78.0
932,75.0
933,75.0
934,78.0
935,75.0
936,78.0
937,75.0
938,78.0
939,75.0
940,78.0
941,75.0
942,40.2
943,40.2
944,40.2
945,40.2
946,41.519999999999996
947,40.2
948,40.2
949,40.2
950,40.2
951,41.519999999999996
952,40.2
953,40.2
954,40.2
955,40.2
956,40.2
957,40.2
958,40.2
959,17.24
960,8.62
961,17.24
962,8.62
963,25.86
964,91.80000000000001
965,100.80000000000001
966,91.80000000000001
967,74.88
968,74.88
969,74.88
970,74.88
971,140.88
972,156.0
973,5.87
974,76.5
975,76.5
976,76.5
977,76.5
978,80.69999999999999
979,76.5
980,80.69999999999999
981,80.69999999999999
982,80.69999999999999
983,80.69999999999999
984,76.5
985,49.32
986,147.96
987,159.96
988,49.32
989,39.99
990,24.66
991,159.96
992,147.96
993,159.96
994,159.96
995,119.64000000000001
996,119.64000000000001
997,113.28
998,113.28
999,113.28
1000,119.64000000000001
1001,113.28
1002,113.28
1003,112.32
1004,112.32
1005,112.32
1006,112.32
1007,112.32
1008,112.32
1009,561.5999999999999
1010,112.32
1011,112.32
1012,112.32
1013,112.32
1014,76.67999999999999
1015,76.67999999999999
1016,76.67999999999999
1017,69.0
1018,76.67999999999999
1019,76.67999999999999
1020,69.0
1021,69.0
1022,41.28
1023,41.28
1024,41.28
1025,41.28
1026,21.0
1027,20.700000000000003
1028,14.0
1029,88.92
1030,88.92
1031,88.92
1032,156.0
1033,450.0
1034,148.92000000000002
1035,468.0
1036,156.0
1037,156.0
1038,624.0
1039,131.88
1040,108.72
1041,108.0
1042,108.0
1043,108.0
1044,108.0
1045,42.599999999999994
1046,42.599999999999994
1047,42.599999999999994
1048,42.599999999999994
1049,42.599999999999994
1050,42.599999999999994
1051,42.599999999999994
1052,42.599999999999994
1053,42.599999999999994
1054,42.599999999999994
1055,42.599999999999994
1056,37.5
1057,25.0
1058,25.0
1059,62.5
1060,25.0
1061,50.94
1062,50.94
1063,50.94
1064,50.94
1065,50.94
1066,50.94
1067,50.94
1068,50.94
1069,39.0
1070,39.0
1071,39.0
1072,39.0
1073,39.0
1074,39.0
1075,39.0
1076,39.0
1077,39.0
1078,39.0
1079,39.0
1080,39.0
1081,39.0
1082,39.0
1083,39.0
1084,39.0
1085,39.0
1086,39.0
1087,39.0
1088,39.0
1089,39.0
1090,39.0
1091,39.0
1092,39.0
1093,39.0
1094,78.0
1095,39.839999999999996
1096,39.839999999999996
1097,39.839999999999996
1098,42.839999999999996
1099,40.08
1100,42.839999999999996
1101,40.08
1102,39.839999999999996
1103,39.839999999999996
1104,39.839999999999996
1105,39.839999999999996
1106,43.08
1107,42.839999999999996
1108,43.08
1109,39.839999999999996
1110,40.08
1111,81.6
1112,81.6
1113,84.0
1114,91.08
1115,251.76
1116,121.32
1117,122.88
1118,125.88
1119,122.88
1120,122.88
1121,125.88
1122,122.88
1123,125.88
1124,125.88
1125,251.76
1126,125.88
1127,125.88
1128,125.88
1129,125.88
1130,125.88
1131,125.88
1132,125.88
1133,125.88
1134,125.88
1135,121.32
1136,203.04000000000002
1137,203.04000000000002
1138,203.04000000000002
1139,197.16
1140,197.16
1141,69.24
1142,69.24
1143,63.239999999999995
1144,69.24
1145,63.239999999999995
1146,69.24
1147,69.24
1148,63.239999999999995
1149,69.24
1150,63.239999999999995
1151,69.24
1152,63.239999999999995
1153,63.239999999999995
1154,69.24
1155,63.239999999999995
1156,63.239999999999995
1157,69.24
1158,120.0
1159,120.0
1160,119.28
1161,120.0
1162,120.0
1163,120.0
1164,119.28
1165,119.28
1166,119.28
1167,62.760000000000005
1168,57.96
1169,57.96
1170,57.96
1171,57.96
1172,62.760000000000005
1173,62.760000000000005
1174,57.96
1175,62.760000000000005
1176,62.760000000000005
1177,57.96
1178,57.96
1179,62.760000000000005
1180,62.760000000000005
1181,62.760000000000005
1182,62.760000000000005
1183,57.96
1184,62.760000000000005
1185,62.760000000000005
1186,57.96
1187,62.760000000000005
1188,57.96
1189,62.760000000000005
1190,57.96
1191,42.599999999999994
1192,38.7
1193,116.10000000000001
1194,42.599999999999994
1195,38.7
1196,38.7
1197,85.19999999999999
1198,77.4
1199,38.7
1200,42.599999999999994
1201,38.7
1202,77.4
1203,42.599999999999994
1204,42.599999999999994
1205,42.599999999999994
1206,77.4
1207,38.7
1208,38.7
1209,38.7
1210,42.599999999999994
1211,42.599999999999994
1212,42.599999999999994
1213,42.599999999999994
1214,77.4
1215,42.599999999999994
1216,38.7
1217,177.12
1218,188.64000000000001
1219,69.30000000000001
1220,138.60000000000002
1221,69.30000000000001
1222,69.30000000000001
1223,69.30000000000001
1224,69.30000000000001
1225,138.60000000000002
1226,69.30000000000001
1227,69.30000000000001
1228,138.60000000000002
1229,69.30000000000001
1230,69.30000000000001
1231,69.30000000000001
1232,69.30000000000001
1233,69.30000000000001
1234,69.30000000000001
1235,138.60000000000002
1236,12.24
1237,12.24
1238,9.18
1239,9.18
1240,12.24
1241,55.44
1242,55.44
1243,121.68
1244,121.68
1245,132.0
1246,130.68
1247,130.68
1248,121.68
1249,132.0
1250,132.0
1251,130.68
1252,123.0
1253,130.68
1254,121.68
1255,123.0
1256,132.0
1257,130.68
1258,264.0
1259,121.68
1260,130.68
1261,121.68
1262,132.0
1263,123.0
